hospital_group,licensed_private_hospital,site_name,service_type,department_or_centre,floor_location,address_en,district,telephone,fax,email,whatsapp,department_opening_hours,opening_hours_notes,notes,source_url,last_verified
Adventist Health (network),No,Adventist Medical Center – Taikoo Place,Clinical Haematology & Haematological Oncology,Haematology & Haematological Oncology clinic,"19/F, Oxford House, Taikoo Place","979 King's Road, Quarry Bay, Hong Kong",Eastern,+852 2309 5000,,info@adventistmedical.hk,+852 9316 7110,Mon-Thu 09:00-18:00; Fri 09:00-17:30; Sat/Sun/PH closed,Centre opening hours; consultations by appointment,Not a licensed private hospital; Adventist network outpatient centre,https://adventistmedical.hk/en/contact-us,2026-08-27
CUHK Medical Centre,Yes,CUHK Medical Centre,Clinical Haematology & Haematological Oncology,Haematology & Haematological Oncology (Oncology Centre),,"9 Chak Cheung Street, Sha Tin, N.T.",Sha Tin,+852 3946 6288,,general@cuhkmc.hk,,Mon-Fri 09:00-18:00; Sat 09:00-13:00; Sun/PH closed,Oncology Centre office hours; Dr Li Wa clinic sessions vary (see oncology consultation schedule),In-house haematologist listed (Dr Li Wa); Oncology Centre booking +852 3946 6288,https://www.cuhkmc.hk/hospital-service/medical-centres-allied-health/oncology-centre/consultation-sessions,2026-08-27
Matilda International Hospital,Yes,Matilda International Hospital,Clinical Haematology (visiting specialist),Specialist Outpatient (Haematology),,"41 Mount Kellett Road, The Peak, Hong Kong",Central & Western,+852 2849 0111,,info@matilda.org,,Mon-Fri 08:30-17:30; Sat 08:30-13:30; Sun/PH closed,Specialist outpatient consultation hours; haematology by appointment,Haematology listed as specialty; e.g. Dr Herman Liu (Honorary Consultant),https://www.matilda.org/en/our-location,2026-08-27
Hong Kong Baptist Hospital,Yes,Hong Kong Baptist Hospital,Laboratory Haematology only,Pathology Department (Haematology section),"LG2, Block D","222 Waterloo Road, Kowloon Tong, Kowloon",Sham Shui Po,+852 2339 8921,+852 2337 1658,info@hkbh.org.hk,,Mon-Fri 08:00-22:00; Sat 22:00-08:00 (extended/on-call coverage),Haematology shares Blood Bank section hours; Immunology/Chemical Pathology Mon-Fri 09:00-17:00,Diagnostic/lab haematology; not a dedicated clinical haematology clinic,https://www.hkbh.org.hk/services-overview/investigative-services/pathology-department/?lang=en,2026-08-27
Hong Kong Baptist Hospital,Yes,HKBH East Kowloon Medical Centre,Laboratory Haematology only,Core Laboratory,27/F,"8 Yan Yip Street, Kwun Tong, Kowloon",Kwun Tong,,,labek@hkbh.org.hk,,Mon-Sat 09:30-18:30; Sun/PH closed,Core laboratory counter hours,CBC/ESR etc.; samples may be referred to main hospital lab,https://www.hkbh.org.hk/EKMC/en/centre/core-laboratory/,2026-08-27
St. Paul's Hospital,Yes,St. Paul's Hospital,Laboratory Haematology only,Pathology Department – Clinical Haematology,"6/F, Main Block","2 Eastern Hospital Road, Causeway Bay, Hong Kong",Wan Chai,+852 2837 5226,,enquiry@stpaul.org.hk,,"Clinical pathology lab: 24/7; Histopathology Mon-Fri 08:00-18:00, Sat 08:00-13:00, Sun/PH closed",24-hr CBC and coagulation testing available,Lab/diagnostic haematology; oncology at separate Radiotherapy and Oncology Centre (LG3; +852 2830 8637),https://www.stpaul.org.hk/en/center-and-service/detail/pathology-department,2026-08-27
Canossa Hospital,Yes,Canossa Hospital,Laboratory Haematology only,Clinical Laboratory (Haematology section),"4/F, Block A","1 Old Peak Road, Mid-Levels, Hong Kong",Central & Western,+852 2825 5333,+852 2825 5689,lab@canossahospital.org.hk,,Not published on hospital website — contact lab to confirm,After-hours/out-of-hours surcharge may apply per hospital fee schedule,HOKLAS-accredited lab haematology; no dedicated clinical haematology department identified,https://www.canossahospital.org.hk/en/service/diagnostic_services/laboratory/fees_and_charges/,2026-08-27
Evangel Hospital,Yes,Evangel Hospital,Laboratory Haematology only,Laboratory Department (Haematology and Serology),,"222 Waterloo Road, Kowloon Tong, Kowloon",Sham Shui Po,+852 2760 3442,,,+852 5741 4933,Lab service daily 07:30-23:00; blood draw 08:30-20:00; on-call 23:00-07:30,Includes Sundays and public holidays for lab service,Hospital main +852 2711 5222; lab haematology tests only,https://evangel.org.hk/en/services/diagnostic/lab/lab_3/,2026-08-27
St. Teresa's Hospital,Yes,St. Teresa's Hospital,Laboratory Haematology only,Clinical Laboratory (Haematology),"1/F, Main Block","327 Prince Edward Road, Kowloon",Kowloon City,+852 2200 3110,+852 2200 3111,,,24/7,Covers haematology and blood bank among other lab disciplines,Lab haematology; hospital main +852 2200 3111,https://www.sth.org.hk/medical_service.asp?dept_code=EHL&lang_code=en,2026-08-27
Precious Blood Hospital,Yes,Precious Blood Hospital (Caritas),Laboratory Haematology only,Clinical Pathology Laboratory,4/F,"113 Castle Peak Road, Sham Shui Po, Kowloon",Sham Shui Po,+852 3971 9937,,enquiry@pbh.hk,,24/7 inpatient lab operation; outpatient blood draw typically Mon-Sun 09:00-20:00,Confirm current specimen collection times with lab +852 3971 9937,HOKLAS clinical pathology lab; no dedicated clinical haematology department identified on public site,https://www.pbh.hk/clinical-laboratory/,2026-08-27
Hong Kong Sanatorium & Hospital,Yes,Hong Kong Sanatorium & Hospital,Laboratory / Pathology Haematology only,Department of Pathology (Haematology testing),"1/F, Li Shu Fan Block","2 Village Road, Happy Valley, Hong Kong",Wan Chai,+852 2835 8790,+852 2892 7502,lab@hksh-hospital.com,,Contact department for specimen hours,Pathology haematology for diagnostics; separate from clinical Haematology and Cellular Therapy Centre,Clinical pathology/lab haematology at main hospital pathology department,https://www.hksh-hospital.com/en/hospital-directory,2026-08-27
